Node_id Range Mean Std
Mort666 2242 734163.0 647.498262546
mang2 2242 734163.0 647.498262546
alecm 2242 734163.0 647.498262546
tflynn 2242 734163.0 647.498262546
psj 2242 734163.0 647.498262546
jes 2242 734163.0 647.498262546
sye 2270 734177.0 655.581167108
jbowman 2250 734167.0 649.807663851
zwane 2242 734163.0 647.498262546
LotR 2242 734163.0 647.498262546
daya100 2242 734163.0 647.498262546
gt3 2242 734163.0 647.498262546
gopi 2242 734163.0 647.498262546
ribozyme 2242 734163.0 647.498262546
kimberleym2003 2242 734163.0 647.498262546
salman 2242 734163.0 647.498262546
hisham 2270 734177.0 655.581167108
Crimz 2242 734163.0 647.498262546
tony 2242 734163.0 647.498262546
dwaite 2242 734163.0 647.498262546
stephenc 2242 734163.0 647.498262546
norny 103 733093.339806 30.1219377521
ivan 2242 734163.0 647.498262546
zura 0 733618.0 0.0
vorlon 2242 734163.0 647.498262546
cjwatson 2242 734163.0 647.498262546
lweston 2242 734163.0 647.498262546
Orc 2242 734163.0 647.498262546
musb 2242 734163.0 647.498262546
temas 2242 734163.0 647.498262546
dgoel3 2242 734163.0 647.498262546
wwp 2242 734163.0 647.498262546
gilbou 505 733294.5 146.069332853
teixi 2242 734163.0 647.498262546
pnis 2242 734163.0 647.498262546
mpoli 2242 734163.0 647.498262546
Wolf 2242 734163.0 647.498262546
seeker 2242 734163.0 647.498262546
piyushsag 2242 734163.0 647.498262546
pjrm 2242 734163.0 647.498262546
rpragana 2242 734163.0 647.498262546
dap24 2242 734163.0 647.498262546
coredumb 2242 734163.0 647.498262546
corbet 2242 734163.0 647.498262546
northrup 2242 734163.0 647.498262546
dpk 2242 734163.0 647.498262546
garrett 2242 734163.0 647.498262546
Egg 2242 734163.0 647.498262546
valis 2242 734163.0 647.498262546
ruaok 2242 734163.0 647.498262546
oddiofile 2242 734163.0 647.498262546
delverdave 2242 734163.0 647.498262546
Ricdude 2242 734163.0 647.498262546
harshy 2242 734163.0 647.498262546
siddharth178 2242 734163.0 647.498262546
jsh 2242 734163.0 647.498262546
Shaman 2242 734163.0 647.498262546
fbl 2270 734177.0 655.581167108
evargas 2242 734163.0 647.498262546
ffxz 2242 734163.0 647.498262546
river 2242 734163.0 647.498262546
mrd 2242 734163.0 647.498262546
gremi 2242 734163.0 647.498262546
snim2 2242 734163.0 647.498262546
mjg59 2248 734166.0 649.230313525
wadka 2242 734163.0 647.498262546
bgarney 2242 734163.0 647.498262546
gunner 1 733358.5 0.5
zotz 2242 734163.0 647.498262546
ana 2242 734163.0 647.498262546
earl 2242 734163.0 647.498262546
perlamer 2242 734163.0 647.498262546
kbreit 147 733115.5 42.7229446551
cybernazi 150 733595.84252 38.2829139325
mrcsparker 2242 734163.0 647.498262546
zhp 2242 734163.0 647.498262546
eddie 2242 734163.0 647.498262546
purp 2242 734163.0 647.498262546
Budgester 2242 734163.0 647.498262546
vektor 2242 734163.0 647.498262546
goran 2242 734163.0 647.498262546
kg 2242 734163.0 647.498262546
beercan 2242 734163.0 647.498262546
njohnso 2242 734163.0 647.498262546
tom 2242 734163.0 647.498262546
noumena9 2242 734163.0 647.498262546
basta 2242 734163.0 647.498262546
Eitch 2270 734177.0 655.581167108
Blacky 2242 734163.0 647.498262546
pbirmingham 2242 734163.0 647.498262546
carton 2242 734163.0 647.498262546
grupis 2242 734163.0 647.498262546
stary 2242 734163.0 647.498262546
worker 2242 734163.0 647.498262546
vrfy 2242 734163.0 647.498262546
aron 2242 734163.0 647.498262546
bagfors 2242 734163.0 647.498262546
slyfox 895 733477.919355 254.491035293
rcassin 2242 734163.0 647.498262546
ylith 2242 734163.0 647.498262546
spirit 2242 734163.0 647.498262546
rread 2242 734163.0 647.498262546
francisca 2242 734163.0 647.498262546
phlip 2242 734163.0 647.498262546
bertrand 2242 734163.0 647.498262546
leuce 2242 734163.0 647.498262546
billionaire 2242 734163.0 647.498262546
sturob 2242 734163.0 647.498262546
Gavincheng 2242 734163.0 647.498262546
