Node_id GapMean GapStd Range
38684168068 112.0 0.0 112
488671 0.0 0.0 0
2367459204 57.5833333333 177.283886433 691
578657 0.0 0.0 0
370278 63.0 63.0 126
371979 5.6 11.2 28
276673 534.0 0.0 534
12972298116 14.1842105263 36.0962567407 539
384425 103.0 0.0 103
533453 0.0 0.0 0
345965 0.0 0.0 0
2811596676 0.0 0.0 0
678853 0.0 0.0 0
708501 0.0 0.0 0
455369 66.8333333333 43.6784335291 401
533865 0.0 0.0 0
705026 0.0 0.0 0
3017641860 0.0 0.0 0
643382 25.6428571429 92.456636278 359
715026 0.0 0.0 0
253748 0.0 0.0 0
468488068 111.428571429 151.144072369 780
263476 18.6818181818 77.1370600494 411
45198315396 52.0 53.0358369407 260
303954 29.125 31.8960714666 233
31316873092 40.0 0.0 40
650647 99.6666666667 43.0838974818 299
266643 0.0 0.0 0
702034 169.0 0.0 169
292701 6.39705882353 21.0434702083 435
517809 0.0 0.0 0
708090 0.0 0.0 0
8886783876 2.67465753425 3.72886393592 781
699439 0.0 0.0 0
506771 3.16279069767 30.9715024548 680
417527 30.0 30.0 60
509052 38.8 70.8079091627 194
686425 0.0 0.0 0
228791 91.625 110.729329335 733
225918 5.96202531646 21.4708769715 942
19130453892 0.333333333333 0.471404520791 1
312421 0.0 0.0 0
369480 0.0 0.0 0
491798 0.0 0.0 0
319020 8.27058823529 31.9880081337 703
2799669124 0.0 0.0 0
288727 29.25 24.1872039172 351
462291 55.0 0.0 55
481673 0.0 0.0 0
450713 10.7045454545 63.3387643568 942
481010 18.8571428571 52.2265082431 660
499311 9.5 9.5 19
263756 47.625 109.923766197 762
33877495684 0.4 0.8 2
363020 0.0 0.0 0
3081932676 0.0 0.0 0
422070 0.0 0.0 0
337076 0.0 0.0 0
439452 0.0 0.0 0
418492 0.0 0.0 0
347314 115.5 115.5 231
519333 0.0 0.0 0
568490 0.0 0.0 0
380903 0.0 0.0 0
398917 0.0 0.0 0
402461 69.0 73.0684610485 276
46087114628 13.1333333333 17.1925048269 394
